dt_referencia,contratos_ativos,contratos_inadimplentes,taxa_inadimplencia,vr_parcela_devida_total,vr_pago_total,dias_atraso_medio,saldo_devedor_medio,share_atraso_1_30,share_atraso_31_60,share_atraso_61_90,share_atraso_1_90,ltv_medio,score_medio,share_baixa_renda,share_programa_social,taxa_inadimplencia_pct,pct_pago_devido,selic_12m,ipca_12m,tx_desemprego_12m,rendimento_medio,confianca_consumidor
2022-02-01,351,11,0.03133903133903134,603403.65,574578.07,9.549857549857549,200339.25943019942,8.262108262108262,4.843304843304843,2.564102564102564,15.669515669515668,83.30962962962963,643.7236467236468,35.04273504273504,83.76068376068376,3.133903133903134,95.22283632192148,10.74,9.74,11.71,2791.08,85.8
2022-03-01,682,28,0.04105571847507331,1174830.58,1092559.61,10.211143695014663,200086.17300586513,11.29032258064516,4.545454545454546,1.906158357771261,17.741935483870968,83.29847507331378,643.9970674486804,33.577712609970675,83.28445747800586,4.105571847507331,92.99720560559464,11.78,9.76,10.86,2766.77,84.81
2022-04-01,1000,46,0.046,1710214.36,1592803.39,10.827,199194.80853,9.1,3.8,2.7,15.6,83.3672,642.867,33.4,83.89999999999999,4.6,93.13472201227452,12.83,10.04,11.05,2817.18,85.73
2022-05-01,1299,50,0.03849114703618168,2238083.71,2085743.87,10.491916859122401,200081.03822170902,10.623556581986143,5.003849114703618,2.386451116243264,18.013856812933028,83.3979753656659,642.9476520400308,34.41108545034642,83.29484218629715,3.849114703618168,93.19329123752928,13.24,10.04,10.61,2831.49,88.41
2022-06-01,1610,84,0.05217391304347826,2778969.59,2552722.31,12.254037267080745,200229.55805590065,10.0,4.409937888198757,2.608695652173913,17.018633540372672,83.43248447204968,643.9478260869565,33.975155279503106,84.03726708074534,5.217391304347826,91.8585910110661,13.24,9.69,10.33,2892.12,87.04
2022-07-01,1942,99,0.0509783728115345,3357621.97,3066515.15,12.598352214212152,200146.1860762101,9.423274974253347,5.612770339855818,2.883625128733265,17.91967044284243,83.45802780638516,643.9011328527291,33.573635427394436,84.24304840370752,5.09783728115345,91.32997035994495,13.83,9.44,10.06,2851.58,85.45
2022-08-01,2248,113,0.050266903914590745,3908441.77,3575735.84,12.526690391459075,201258.53536921708,11.254448398576512,5.249110320284697,2.491103202846975,18.994661921708186,83.41339412811388,644.4319395017793,33.229537366548044,84.29715302491103,5.026690391459074,91.48750449466208,13.79,9.21,9.52,2874.03,84.17
2022-09-01,2553,130,0.0509204857030944,4391472.4,4011896.91,12.666274970622796,199721.69397571485,10.144927536231885,5.405405405405405,2.428515471993733,17.97884841363102,83.47954563258911,644.2734038386212,33.6466901684293,84.05797101449275,5.09204857030944,91.35653249238229,13.73,8.69,9.76,2879.88,81.87
2022-10-01,2881,142,0.04928844151336342,4948036.79,4534559.3,11.902464422075669,199406.70219368275,9.961818812912183,5.3453661922943425,2.4297119055883374,17.736896910794865,83.50193335647344,644.619576535925,33.46060395695939,83.96390142311697,4.9288441513363415,91.64360518022745,13.78,8.74,9.92,2869.77,83.53
2022-11-01,3190,159,0.049843260188087775,5469998.52,5035554.44,11.851097178683386,199055.03719435737,10.094043887147336,4.952978056426333,2.2257053291536053,17.272727272727273,83.52150470219435,644.4742946708463,33.824451410658305,83.98119122257053,4.984326018808778,92.05769291506135,13.73,8.65,10.06,2928.57,85.03
2022-12-01,3516,174,0.04948805460750853,6041327.28,5558724.9,11.749146757679181,199344.1446188851,9.385665529010238,4.778156996587031,2.4175199089874857,16.581342434584755,83.5311234357224,645.1109215017065,34.07281001137656,83.70307167235495,4.948805460750854,92.01164979759217,13.73,8.93,9.84,2933.32,85.81
2023-01-01,3808,212,0.05567226890756303,6542148.66,5994425.97,12.548319327731093,199135.86222163867,9.978991596638656,4.779411764705882,2.3109243697478994,17.069327731092436,83.5323581932773,645.1746323529412,33.82352941176471,83.6922268907563,5.567226890756303,91.6277859390618,13.76,8.55,9.87,2946.68,92.37
2023-02-01,4244,224,0.0527803958529689,7277017.76,6648983.27,12.201225259189444,198285.35632893495,9.63713477851084,4.783223374175306,2.3327049952874646,16.75306314797361,83.57889962299717,644.5254476908577,34.00094250706881,83.76531573986806,5.27803958529689,91.36961718779699,13.65,7.74,9.89,2925.24,92.77
2023-03-01,4678,237,0.0506626763574177,8027441.48,7359010.57,12.212483967507481,198423.52229585292,10.153911928174434,4.852501068832835,2.5224454895254382,17.528858486532705,83.5702287302266,645.0737494655835,33.90337751175716,83.81787088499358,5.06626763574177,91.67317617119521,13.16,8.2,9.88,2984.06,92.02
2023-04-01,5097,284,0.055719050421816754,8734998.93,7966953.24,12.720227584853836,198248.5914714538,9.907788895428684,4.826368452030606,2.491661761820679,17.225819109279968,83.56461644104375,644.3223464783206,34.118108691387086,83.8336276240926,5.571905042181675,91.20726062870853,13.22,7.81,9.46,2940.53,95.46
2023-05-01,5513,267,0.048430981316887355,9460320.76,8702672.95,11.540721929983675,198140.37817703612,9.214583711228007,4.716125521494649,2.3943406493742065,16.325049882096863,83.56093234173771,644.1989842191184,34.02865953201524,83.72936695084347,4.843098131688736,91.99130949974258,12.7,7.55,9.01,2992.88,92.57
2023-06-01,5944,289,0.04862045760430687,10155686.96,9344161.41,11.669582772543741,197223.80837483177,9.639973082099598,4.8452220726783315,2.2880215343203227,16.77321668909825,83.57531460296097,643.6847240915208,34.4885598923284,83.95020188425303,4.862045760430687,92.00915158968232,13.27,7.77,8.94,3037.52,93.96
2023-07-01,6339,333,0.05253194510175106,10877830.84,9959521.6,12.448020192459378,197903.98691118474,9.197034232528791,5.3005205868433505,2.539832781195772,17.037387600567914,83.55304779933743,643.8323079350055,34.53226060892886,83.79870642057107,5.253194510175106,91.55797462281552,13.2,7.72,8.55,2986.47,92.96
2023-08-01,6803,332,0.04880199911803616,11692672.55,10752600.92,11.917242393061885,198040.8985388799,9.36351609584007,5.085991474349552,2.4547993532265178,16.90430692341614,83.54901220049979,643.9288549169484,34.470086726444215,83.68366896957224,4.880199911803616,91.96016457332502,13.18,7.52,8.46,3007.53,88.73
