categoria,contratos,taxa_ever_inadimplente,score_medio,ltv_medio,tx_juros_anual_media,prazo_meses_medio,segmento
3 a 6 SM,3589,0.5293953747561995,637.7079966564503,84.03664251880747,7.644466425188075,271.6634159933129,faixa_renda
6 a 10 SM,1996,0.45190380761523047,701.3987975951903,80.08655811623245,8.744243486973946,271.2625250501002,faixa_renda
Acima de 10 SM,978,0.38752556237218816,762.0327198364008,75.13961145194273,8.78,270.79754601226995,faixa_renda
Até 3 SM,3437,0.604887983706721,581.8664533022985,87.48010765202211,6.709351178353216,270.67209775967416,faixa_renda
AC,51,0.5098039215686274,641.8039215686274,83.52392156862746,7.642941176470589,265.88235294117646,uf
AL,206,0.46116504854368934,642.5533980582525,83.85936893203883,7.645388349514564,276.99029126213594,uf
AM,200,0.485,657.475,83.2396,7.665,275.4,uf
AP,39,0.48717948717948717,671.8717948717949,82.71205128205128,7.754358974358975,261.53846153846155,uf
BA,589,0.5449915110356537,642.3276740237691,83.41957555178267,7.707589134125637,273.0050933786078,uf
CE,379,0.5382585751978892,649.7176781002638,83.51435356200527,7.6506068601583115,267.38786279683376,uf
DF,166,0.536144578313253,635.2530120481928,83.60656626506024,7.850120481927711,270.0,uf
ES,193,0.47668393782383417,636.4300518134716,83.37849740932643,7.622694300518135,279.17098445595855,uf
GO,301,0.5149501661129569,647.1162790697674,83.65292358803987,7.5694019933554815,265.7142857142857,uf
MA,278,0.5,647.8093525179856,83.48690647482015,7.630215827338128,267.841726618705,uf
MG,1033,0.5150048402710552,642.3668925459825,83.52983543078413,7.6500096805421105,276.1277831558567,uf
MS,157,0.6178343949044586,651.4904458598726,82.96681528662421,7.740254777070064,274.7770700636943,uf
MT,188,0.5053191489361702,649.4840425531914,83.27861702127659,7.44877659574468,268.72340425531917,uf
PA,269,0.5613382899628253,640.9219330855019,83.8253531598513,7.572788104089219,263.42007434944236,uf
PB,200,0.5,634.71,83.73975,7.71235,277.2,uf
PE,370,0.527027027027027,647.6837837837838,84.06664864864865,7.710567567567567,271.94594594594594,uf
PI,114,0.49122807017543857,656.3421052631579,82.86754385964912,7.687105263157895,271.57894736842104,uf
PR,612,0.5490196078431373,643.0816993464052,83.35643790849673,7.694803921568628,270.88235294117646,uf
RJ,1070,0.5299065420560748,637.1289719626168,83.87936448598131,7.59611214953271,271.1214953271028,uf
RN,203,0.5566502463054187,646.8472906403941,83.05625615763546,7.9303448275862065,273.1034482758621,uf
RO,92,0.4782608695652174,661.3369565217391,83.41141304347826,7.795760869565218,265.4347826086956,uf
RR,52,0.6730769230769231,615.5576923076923,83.06134615384615,7.6450000000000005,291.9230769230769,uf
