macro_term,coef,std_error_cluster_month,p_value_cluster_month,odds_ratio,or_ci_low,or_ci_high,aic,months
confianca_consumidor_lag2,-0.005042024644211303,0.003134804149698699,0.10774720720508565,0.9949706650258773,0.9888762042174738,1.0011026860995464,42509.91210912559,34
selic_12m_lag3,0.021697617438947034,0.013711370663859414,0.11354589759012151,1.0219347225066986,0.9948371980700159,1.0497703333679953,42367.50681983635,33
selic_12m_lag2,0.019195082262367068,0.014027218709503832,0.17118163687629306,1.019380492273988,0.9917365701854982,1.0477949682085372,42510.357377323926,34
selic_12m_lag1,0.021744052369434438,0.01591425190764339,0.171836738399618,1.0219821770762672,0.9905971774057716,1.0543615448176435,42527.91278357335,35
macro_stress_index_lag3,0.024104260081805214,0.023992677626971333,0.31506508077676343,1.0243971160502527,0.9773401558122756,1.0737197741557223,42368.933179020634,33
macro_stress_index_lag2,0.022552893968818953,0.023706879215862266,0.34144055229186343,1.0228091331680753,0.9763718849504044,1.0714549845371357,42511.31151696462,34
confianca_consumidor_lag1,-0.003083914744234514,0.0033288759123671326,0.35423126219701395,0.9969208356363294,0.9904376214649181,1.003446487680739,42529.48388824353,35
confianca_consumidor_lag3,-0.002897431313663972,0.0031663595166389166,0.3601564230617138,0.997106762189338,0.9909379284032714,1.00331399849204,42369.24773531892,33
rendimento_medio_lag3,-0.00017132035848186237,0.0001874302513172043,0.36069131005108745,0.9998286943160127,0.9994614681596767,1.0001960554000615,42369.07580440247,33
ipca_12m_lag3,0.010133907151112068,0.014065885582147719,0.4712418532356739,1.0101854290805947,0.9827163833308568,1.0384222939968797,42369.43623687287,33
macro_stress_index_lag1,0.017093836728302947,0.024795777410224613,0.4905810274788869,1.0172407723927874,0.9689861173594735,1.0678984667376752,42529.775190581924,35
rendimento_medio_lag2,-0.00011953117346857164,0.00018512870882758116,0.5184961721340859,0.9998804759700975,0.9995177395496967,1.0002433440316942,42511.824955259566,34
ipca_12m_lag1,0.007656943767015557,0.014804639506355721,0.6050172962876172,1.0076863331239383,0.9788668846131838,1.0373542735241619,42529.988054007,35
tx_desemprego_12m_lag2,0.008128137784309167,0.01679730395438106,0.6284601191555177,1.0081612607781625,0.9755108729009899,1.041904458441616,42512.0477061675,34
tx_desemprego_12m_lag3,0.005542083006357131,0.016989368240629257,0.744266313464409,1.0055574687582882,0.9726252044260308,1.0396047916240017,42369.92398948384,33
ipca_12m_lag2,0.0029839108992007245,0.013152036251688214,0.8205184191724584,1.0029883671926196,0.9774642052360217,1.0291790321680463,42512.26711584891,34
tx_desemprego_12m_lag1,0.0030508998299589537,0.01802635264566717,0.8656026361848822,1.0030555585614147,0.9682353393140247,1.0391280019522606,42530.31634113136,35
rendimento_medio_lag1,2.358716058327676e-06,0.00018938315226870836,0.9900628200068868,1.00000235871884,0.9996312425660749,1.0003736126496108,42530.35389092067,35
