model,term,coef,std_error,p_value,odds_ratio,or_ci_low,or_ci_high
contract_logit_ever_delinquent,Intercept,-0.3425527071738396,1.282937351184757,0.7894640992481525,0.7099556986409623,0.05743716507998769,8.775452154207976
contract_logit_ever_delinquent,"C(faixa_renda, Treatment(reference=""Acima de 10 SM""))[T.3 a 6 SM]",0.24365616830084605,0.1222464798294425,0.046244489670432064,1.2759055582858159,1.0040657132765358,1.6213430775882693
contract_logit_ever_delinquent,"C(faixa_renda, Treatment(reference=""Acima de 10 SM""))[T.6 a 10 SM]",0.0895714304678149,0.09274298502456106,0.3341428895489478,1.0937054544144647,0.9119213971122568,1.3117266738162745
contract_logit_ever_delinquent,"C(faixa_renda, Treatment(reference=""Acima de 10 SM""))[T.Até 3 SM]",0.4583674561976503,0.14906824171819474,0.002105848909964591,1.5814900246159638,1.1808081432112445,2.118134696427443
contract_logit_ever_delinquent,"C(tipo_imovel, Treatment(reference=""Novo""))[T.Usado]",0.06281704036375396,0.04087671755830425,0.1243560721169668,1.0648320001325962,0.9828489294032988,1.1536535825447476
contract_logit_ever_delinquent,"C(programa_social, Treatment(reference=""Livre""))[T.FGTS]",0.04288399994923079,0.08069422077265569,0.5951150829664911,1.0438168050251588,0.8911221510945451,1.2226758375545446
contract_logit_ever_delinquent,"C(programa_social, Treatment(reference=""Livre""))[T.MCMV]",0.05957707026110023,0.14252577456373652,0.6759404664035396,1.0613875592437085,0.8027047512692964,1.4034345120493465
contract_logit_ever_delinquent,"C(uf, Treatment(reference=""SP""))[T.AC]",-0.09702204387141451,0.28242488394603393,0.7311981152167816,0.9075360003058758,0.5217510895618962,1.5785718675599985
contract_logit_ever_delinquent,"C(uf, Treatment(reference=""SP""))[T.AL]",-0.2980013336062295,0.15245736025049814,0.050623965927424026,0.7423003498107437,0.5505638914036065,1.0008099294786823
contract_logit_ever_delinquent,"C(uf, Treatment(reference=""SP""))[T.AM]",-0.15854321941548416,0.14728507829131615,0.28173152356961884,0.8533860801463287,0.6394053543770537,1.1389767020281483
contract_logit_ever_delinquent,"C(uf, Treatment(reference=""SP""))[T.AP]",-0.11534825767290371,0.3187491062506289,0.7174432744098773,0.8910557728555362,0.477073350144252,1.6642731984486288
contract_logit_ever_delinquent,"C(uf, Treatment(reference=""SP""))[T.BA]",0.058036310429208426,0.09485347741596267,0.5406355383518041,1.059753475115218,0.8799650492020579,1.2762750396020552
contract_logit_ever_delinquent,"C(uf, Treatment(reference=""SP""))[T.CE]",0.037465076569531866,0.11352191466559042,0.7413810276876593,1.038175739790452,0.8310762032816055,1.2968833212088047
contract_logit_ever_delinquent,"C(uf, Treatment(reference=""SP""))[T.DF]",0.00207404297073566,0.1646832990400676,0.9899516032954443,1.0020761952855985,0.7256414243644923,1.3838194284973309
contract_logit_ever_delinquent,"C(uf, Treatment(reference=""SP""))[T.ES]",-0.21451615099860324,0.15233649064660226,0.15907981426177709,0.8069317788726206,0.5986427998535304,1.0876918521593268
contract_logit_ever_delinquent,"C(uf, Treatment(reference=""SP""))[T.GO]",-0.057677286516554085,0.12498738047508243,0.6444651127303964,0.9439545251415121,0.7388590915037951,1.2059811617416645
contract_logit_ever_delinquent,"C(uf, Treatment(reference=""SP""))[T.MA]",-0.1132838420085361,0.1298821493994776,0.38309662836345704,0.8928971824142347,0.6922222689269381,1.1517476598942353
contract_logit_ever_delinquent,"C(uf, Treatment(reference=""SP""))[T.MG]",-0.06555883964395358,0.07696030021299116,0.3942958514389756,0.936543939226459,0.8054144766023096,1.089022578538661
contract_logit_ever_delinquent,"C(uf, Treatment(reference=""SP""))[T.MS]",0.39620293799048206,0.17330985548569583,0.02224865287610292,1.4861708874837756,1.0581497489521976,2.087326400626583
contract_logit_ever_delinquent,"C(uf, Treatment(reference=""SP""))[T.MT]",-0.07279958729811714,0.1541318588797309,0.6366982685824227,0.9297871525098833,0.6873631804008705,1.2577108777753527
contract_logit_ever_delinquent,"C(uf, Treatment(reference=""SP""))[T.PA]",0.11244121977529814,0.13251267886684312,0.39614187934336553,1.1190064795272854,0.8630532742891462,1.4508669841446382
contract_logit_ever_delinquent,"C(uf, Treatment(reference=""SP""))[T.PB]",-0.14597758601724026,0.1529541486315896,0.33988733772517776,0.8641770726175759,0.6403360203444751,1.1662658184309753
