feature,lag_months,correlation,abs_correlation,future_assumption,abs_best_corr
selic_12m,0,0.16093038555502834,0.16093038555502834,last observed value held constant for forecasting,0.22573658676612365
selic_12m,1,0.12262356760723647,0.12262356760723647,last observed value held constant for forecasting,0.22573658676612365
selic_12m,2,0.1636463406319884,0.1636463406319884,last observed value held constant for forecasting,0.22573658676612365
selic_12m,3,0.22573658676612365,0.22573658676612365,last observed value held constant for forecasting,0.22573658676612365
ipca_12m,0,-0.39506396453381093,0.39506396453381093,last observed value held constant for forecasting,0.39506396453381093
ipca_12m,1,-0.281004638665728,0.281004638665728,last observed value held constant for forecasting,0.39506396453381093
ipca_12m,2,-0.2221944268838817,0.2221944268838817,last observed value held constant for forecasting,0.39506396453381093
ipca_12m,3,-0.1289968916733202,0.1289968916733202,last observed value held constant for forecasting,0.39506396453381093
tx_desemprego_12m,0,-0.4931717312140505,0.4931717312140505,last observed value held constant for forecasting,0.4931717312140505
tx_desemprego_12m,1,-0.4067559282281366,0.4067559282281366,last observed value held constant for forecasting,0.4931717312140505
tx_desemprego_12m,2,-0.26885844751245724,0.26885844751245724,last observed value held constant for forecasting,0.4931717312140505
tx_desemprego_12m,3,-0.25917195053720804,0.25917195053720804,last observed value held constant for forecasting,0.4931717312140505
rendimento_medio,0,0.42361942956482246,0.42361942956482246,last observed value held constant for forecasting,0.42361942956482246
rendimento_medio,1,0.3854336095069642,0.3854336095069642,last observed value held constant for forecasting,0.42361942956482246
rendimento_medio,2,0.27885490584577505,0.27885490584577505,last observed value held constant for forecasting,0.42361942956482246
rendimento_medio,3,0.1811400730780103,0.1811400730780103,last observed value held constant for forecasting,0.42361942956482246
confianca_consumidor,0,0.2954356827501826,0.2954356827501826,last observed value held constant for forecasting,0.2954356827501826
confianca_consumidor,1,0.19876544349711428,0.19876544349711428,last observed value held constant for forecasting,0.2954356827501826
confianca_consumidor,2,0.09752330835393296,0.09752330835393296,last observed value held constant for forecasting,0.2954356827501826
confianca_consumidor,3,0.09347339288952211,0.09347339288952211,last observed value held constant for forecasting,0.2954356827501826
contratos_ativos,0,0.4079878719210975,0.4079878719210975,last observed value held constant for forecasting,0.4079878719210975
contratos_ativos,1,0.29821349770214,0.29821349770214,last observed value held constant for forecasting,0.4079878719210975
contratos_ativos,2,0.20174807157683394,0.20174807157683394,last observed value held constant for forecasting,0.4079878719210975
contratos_ativos,3,0.15156294349276894,0.15156294349276894,last observed value held constant for forecasting,0.4079878719210975
dias_atraso_medio,0,0.9367748374926933,0.9367748374926933,last observed value held constant for forecasting,0.9367748374926933
dias_atraso_medio,1,0.4927261964483014,0.4927261964483014,last observed value held constant for forecasting,0.9367748374926933
dias_atraso_medio,2,0.3761530968132307,0.3761530968132307,last observed value held constant for forecasting,0.9367748374926933
dias_atraso_medio,3,0.36035937140780194,0.36035937140780194,last observed value held constant for forecasting,0.9367748374926933
saldo_devedor_medio,0,-0.3838817592550327,0.3838817592550327,last observed value held constant for forecasting,0.3838817592550327
saldo_devedor_medio,1,-0.23963235402094227,0.23963235402094227,last observed value held constant for forecasting,0.3838817592550327
saldo_devedor_medio,2,-0.19393936946889442,0.19393936946889442,last observed value held constant for forecasting,0.3838817592550327
saldo_devedor_medio,3,-0.09737037934958674,0.09737037934958674,last observed value held constant for forecasting,0.3838817592550327
pct_pago_devido,0,-0.914164975801791,0.914164975801791,last observed value held constant for forecasting,0.914164975801791
pct_pago_devido,1,-0.5242734188602307,0.5242734188602307,last observed value held constant for forecasting,0.914164975801791
pct_pago_devido,2,-0.3256300995357766,0.3256300995357766,last observed value held constant for forecasting,0.914164975801791
pct_pago_devido,3,-0.5014062786787923,0.5014062786787923,last observed value held constant for forecasting,0.914164975801791
share_atraso_1_90,0,0.1203091375773036,0.1203091375773036,last observed value held constant for forecasting,0.27690587248408965
share_atraso_1_90,1,0.26163192569722277,0.26163192569722277,last observed value held constant for forecasting,0.27690587248408965
share_atraso_1_90,2,-0.27690587248408965,0.27690587248408965,last observed value held constant for forecasting,0.27690587248408965
share_atraso_1_90,3,0.17410649295545333,0.17410649295545333,last observed value held constant for forecasting,0.27690587248408965
ltv_medio,0,0.6880126533047751,0.6880126533047751,last observed value held constant for forecasting,0.6880126533047751
ltv_medio,1,0.5300433429279675,0.5300433429279675,last observed value held constant for forecasting,0.6880126533047751
ltv_medio,2,0.4327532825581088,0.4327532825581088,last observed value held constant for forecasting,0.6880126533047751
ltv_medio,3,0.24808224478119162,0.24808224478119162,last observed value held constant for forecasting,0.6880126533047751
score_medio,0,0.18372491167515528,0.18372491167515528,last observed value held constant for forecasting,0.30033990449430786
score_medio,1,0.30033990449430786,0.30033990449430786,last observed value held constant for forecasting,0.30033990449430786
score_medio,2,0.09371531673467529,0.09371531673467529,last observed value held constant for forecasting,0.30033990449430786
score_medio,3,0.2527108980188761,0.2527108980188761,last observed value held constant for forecasting,0.30033990449430786
share_baixa_renda,0,-0.12571175569780707,0.12571175569780707,last observed value held constant for forecasting,0.42556981747075595
share_baixa_renda,1,0.0623696766338306,0.0623696766338306,last observed value held constant for forecasting,0.42556981747075595
share_baixa_renda,2,-0.026591296333745098,0.026591296333745098,last observed value held constant for forecasting,0.42556981747075595
share_baixa_renda,3,-0.42556981747075595,0.42556981747075595,last observed value held constant for forecasting,0.42556981747075595
share_programa_social,0,0.32333372166162977,0.32333372166162977,last observed value held constant for forecasting,0.32333372166162977
share_programa_social,1,-0.06714207635753396,0.06714207635753396,last observed value held constant for forecasting,0.32333372166162977
share_programa_social,2,0.18023877920515335,0.18023877920515335,last observed value held constant for forecasting,0.32333372166162977
share_programa_social,3,-0.04315939487752883,0.04315939487752883,last observed value held constant for forecasting,0.32333372166162977
