lag,acf,pacf_ols
1,0.4763486728362406,0.4763486728362406
2,0.39759223048589853,0.23751845893028817
3,0.47515361532625794,0.277211138931061
4,-0.27045031362716654,-0.23481590459801122
5,-0.04186954279340168,0.048211816563591116
6,0.03758512962972747,0.10595399428386794
7,0.07211848530105106,0.1954207217878056
8,0.10047058496761134,-0.10256232461635674
9,-0.021423622802142217,-0.1309549824031307
10,-0.028378875650260992,0.002586987879119103
11,-0.4743410475587565,-0.23296133443430767
12,-0.22648014276839704,0.11112615592803564
