dt_referencia,taxa_inadimplencia_pct,rolling_mean_3m,rolling_mean_6m,rolling_mean_12m,monthly_change_pp
2022-02-01,3.133903133903134,,,,
2022-03-01,4.105571847507331,,,,0.9716687136041973
2022-04-01,4.6,3.946491660470155,,,0.49442815249266836
2022-05-01,3.849114703618168,4.184895517041833,,,-0.7508852963818318
2022-06-01,5.217391304347826,4.555502002655332,,,1.3682766007296583
2022-07-01,5.09783728115345,4.721447763039815,4.3339697117549845,,-0.11955402319437614
2022-08-01,5.026690391459074,5.113972992320117,4.649434254680975,,-0.07114688969437566
2022-09-01,5.09204857030944,5.072192080973988,4.81384704181466,,0.06535817885036543
2022-10-01,4.9288441513363415,5.015861037701619,4.868654400370716,,-0.16320441897309834
2022-11-01,4.984326018808778,5.001739580151519,5.057856286235818,,0.05548186747243644
2022-12-01,4.948805460750854,4.953991876965325,5.013091978969656,,-0.03552055805792431
2023-01-01,5.567226890756303,5.166786123438645,5.0913235805701325,4.7126466461625585,0.6184214300054496
2023-02-01,5.27803958529689,5.264690645601349,5.133215112876434,4.891324683778705,-0.2891873054594134
2023-03-01,5.06626763574177,5.303844703931655,5.12891829044849,4.971382666131574,-0.21177194955511958
2023-04-01,5.571905042181675,5.305404087740111,5.236095105589379,5.052374752980048,0.505637406439905
2023-05-01,4.843098131688736,5.16042360320406,5.2125571244027045,5.135206705319262,-0.7288069104929393
2023-06-01,4.862045760430687,5.092349644767032,5.198097174349344,5.1055945766595,0.018947628741950773
2023-07-01,5.253194510175106,4.986112800764843,5.145758444252478,5.118541012411304,0.3911487497444197
2023-08-01,4.880199911803616,4.998480060803136,5.079451832003598,5.106333472440016,-0.3729945983714904
2023-09-01,5.184155663655316,5.10585002854468,5.0990998366558555,5.114009063552173,0.3039557518517002
2023-10-01,5.10498687664042,5.056447484033117,5.02128014239898,5.128687623994179,-0.07916878701489605
2023-11-01,5.348320158102767,5.212487566132833,5.105483813467985,5.159020468935345,0.24333328146234656
2023-12-01,5.289643066120538,5.247650033621242,5.17675003108296,5.187423602716152,-0.05867709198222837
2024-01-01,4.912748694009114,5.1835706394108065,5.120009061721961,5.13288375298722,-0.3768943721114244
2024-02-01,4.544502617801047,4.915631459310234,5.064059512721534,5.071755672362566,-0.3682460762080666
2024-03-01,4.87,4.775750437270053,5.011700235445648,5.055400036050751,0.32549738219895286
2024-04-01,4.66,4.69150087260035,4.937535756005578,4.979407949202279,-0.20999999999999996
2024-05-01,5.0,4.843333333333334,4.879482396321784,4.992483104894885,0.33999999999999986
2024-06-01,5.21,4.956666666666667,4.86620855196836,5.021479291525661,0.20999999999999996
2024-07-01,5.17,5.126666666666666,4.909083769633508,5.014546415677734,-0.040000000000000036
2024-08-01,5.27,5.216666666666666,5.03,5.047029756360767,0.09999999999999964
2024-09-01,5.2299999999999995,5.223333333333333,5.09,5.050850117722823,-0.040000000000000036
2024-10-01,4.97,5.156666666666666,5.141666666666667,5.039601211336122,-0.2599999999999998
2024-11-01,5.46,5.22,5.218333333333334,5.048907864827558,0.4900000000000002
2024-12-01,5.0,5.1433333333333335,5.183333333333334,5.0247709426508465,-0.45999999999999996
