model,term,coef,std_error,p_value,odds_ratio,or_ci_low,or_ci_high
hazard_logit_entry_confianca_consumidor_lag2,Intercept,-3.671727352165559,0.9144138448724851,5.934780994460911e-05,0.02543250109692439,0.004236806171247781,0.15266502310974678
hazard_logit_entry_confianca_consumidor_lag2,"C(faixa_renda, Treatment(reference=""Acima de 10 SM""))[T.3 a 6 SM]",0.17993040386752435,0.10106956308702165,0.07503292891130592,1.197134044322971,0.9820016408363992,1.4593966654235269
hazard_logit_entry_confianca_consumidor_lag2,"C(faixa_renda, Treatment(reference=""Acima de 10 SM""))[T.6 a 10 SM]",0.07791703744585457,0.06823294432015903,0.2534843887039938,1.0810329696934402,0.9457121135298596,1.2357167311755284
hazard_logit_entry_confianca_consumidor_lag2,"C(faixa_renda, Treatment(reference=""Acima de 10 SM""))[T.Até 3 SM]",0.31169069732716387,0.12480597629083057,0.012510703297782883,1.3657322030734227,1.069376190297866,1.7442172992389533
hazard_logit_entry_confianca_consumidor_lag2,"C(tipo_imovel, Treatment(reference=""Novo""))[T.Usado]",0.05203896982915909,0.02797015983241644,0.06281235507538005,1.0534167931859546,0.9972223288030163,1.1127778712076744
hazard_logit_entry_confianca_consumidor_lag2,"C(programa_social, Treatment(reference=""Livre""))[T.FGTS]",0.03581024897280448,0.05872134941159035,0.5419720745265135,1.0364591586406549,0.9237798613685438,1.1628826655071676
hazard_logit_entry_confianca_consumidor_lag2,"C(programa_social, Treatment(reference=""Livre""))[T.MCMV]",0.060118560494498506,0.08043023106492045,0.45478458899650254,1.0619624458745904,0.9070825708761491,1.2432872956192262
hazard_logit_entry_confianca_consumidor_lag2,"C(regiao, Treatment(reference=""Sudeste""))[T.Centro-Oeste]",0.02378672613395828,0.050029311281018056,0.6344621314907989,1.0240718868282224,0.9284219870317756,1.1295760376644577
hazard_logit_entry_confianca_consumidor_lag2,"C(regiao, Treatment(reference=""Sudeste""))[T.Nordeste]",0.007058482599969125,0.04094952229203389,0.8631463976295713,1.0070834524033438,0.9294139002612046,1.0912437180244454
hazard_logit_entry_confianca_consumidor_lag2,"C(regiao, Treatment(reference=""Sudeste""))[T.Norte]",-0.025704763638512266,0.0508335850952106,0.6130918586813836,0.9746227912233744,0.8821997632891163,1.0767284516497218
hazard_logit_entry_confianca_consumidor_lag2,"C(regiao, Treatment(reference=""Sudeste""))[T.Sul]",0.013163624680152187,0.03998207569337181,0.7419756884587316,1.0132506466096165,0.9368802525287719,1.0958464222974709
hazard_logit_entry_confianca_consumidor_lag2,score_100,-0.09253355154724394,0.018709587337376,7.583855933697912e-07,0.911618624236009,0.8787949641192012,0.9456682730162176
hazard_logit_entry_confianca_consumidor_lag2,ltv_10pp,0.16749519170784624,0.05894578223658583,0.004490005671591108,1.1823396051370076,1.0533373808301496,1.3271407312762507
hazard_logit_entry_confianca_consumidor_lag2,tx_juros_anual,0.05580260070380776,0.015862452941407392,0.00043496823651691265,1.0573889353022619,1.0250206556409835,1.0907793461005715
hazard_logit_entry_confianca_consumidor_lag2,prazo_5anos,0.00861326695348583,0.010887405376169902,0.42887274669899844,1.0086504678677197,0.9873549733042732,1.030405268456824
hazard_logit_entry_confianca_consumidor_lag2,log_vr_financiado,-0.09033046140895139,0.059501201203216184,0.12898204130558025,0.9136292161813724,0.8130597549562197,1.0266383738365397
hazard_logit_entry_confianca_consumidor_lag2,meses_desde_contratacao,0.060016840078057805,0.008575789922213225,2.5889517941236972e-12,1.0618544281062512,1.0441556837320674,1.0798531713764836
hazard_logit_entry_confianca_consumidor_lag2,I(meses_desde_contratacao ** 2),-0.0017231286317643097,0.00029628941767997175,6.038278496306671e-09,0.9982783551020328,0.9976988065951324,0.9988582402601043
hazard_logit_entry_confianca_consumidor_lag2,confianca_consumidor_lag2,-0.005042024644211303,0.003134804149698699,0.10774720720508565,0.9949706650258773,0.9888762042174738,1.0011026860995464
